label,features
1,"[3.0,15.0,1.0]"
1,"[0.0,26.0,1.0]"
1,"[21.0,9.0,1.0]"
1,"[0.0,7.0,1.0]"
1,"[22.0,11.0,0.0]"
1,"[0.0,16.0,1.0]"
1,"[9.0,8.0,4.0]"
1,"[0.0,136.0,4.0]"
1,"[16.0,182.0,1.0]"
1,"[21.0,23.0,1.0]"
1,"[19.0,106.0,1.0]"
1,"[5.0,8.0,1.0]"
1,"[33.0,206.0,1.0]"
1,"[5.0,161.0,1.0]"
1,"[3.0,124.0,1.0]"
1,"[10.0,63.0,4.0]"
1,"[9.0,46.0,0.0]"
1,"[0.0,8.0,1.0]"
1,"[3.0,190.0,0.0]"
1,"[0.0,7.0,1.0]"
1,"[0.0,36.0,4.0]"
1,"[18.0,50.0,1.0]"
1,"[18.0,228.0,1.0]"
1,"[3.0,20.0,1.0]"
1,"[9.0,8.0,4.0]"
1,"[11.0,208.0,6.0]"
1,"[28.0,12.0,7.0]"
1,"[16.0,10.0,6.0]"
1,"[3.0,107.0,1.0]"
1,"[0.0,5.0,1.0]"
1,"[0.0,48.0,1.0]"
1,"[22.0,223.0,1.0]"
1,"[9.0,12.0,1.0]"
1,"[10.0,54.0,4.0]"
1,"[20.0,126.0,4.0]"
1,"[20.0,12.0,1.0]"
1,"[16.0,16.0,1.0]"
1,"[20.0,50.0,7.0]"
1,"[20.0,62.0,0.0]"
1,"[0.0,6.0,1.0]"
1,"[5.0,178.0,2.0]"
1,"[3.0,234.0,0.0]"
1,"[18.0,93.0,5.0]"
1,"[0.0,8.0,1.0]"
1,"[10.0,10.0,1.0]"
1,"[18.0,153.0,7.0]"
1,"[0.0,7.0,9.0]"
1,"[0.0,193.0,0.0]"
1,"[18.0,207.0,1.0]"
1,"[28.0,24.0,10.0]"
1,"[3.0,15.0,0.0]"
1,"[10.0,6.0,1.0]"
1,"[22.0,59.0,1.0]"
1,"[22.0,8.0,1.0]"
1,"[10.0,272.0,8.0]"
1,"[16.0,214.0,0.0]"
1,"[10.0,21.0,4.0]"
1,"[0.0,5.0,1.0]"
1,"[20.0,6.0,4.0]"
1,"[16.0,279.0,1.0]"
1,"[20.0,47.0,1.0]"
1,"[0.0,28.0,1.0]"
1,"[18.0,14.0,0.0]"
1,"[19.0,115.0,0.0]"
1,"[0.0,17.0,0.0]"
1,"[0.0,9.0,0.0]"
1,"[5.0,55.0,2.0]"
1,"[10.0,128.0,4.0]"
1,"[18.0,12.0,4.0]"
1,"[9.0,9.0,0.0]"
1,"[10.0,25.0,1.0]"
1,"[10.0,64.0,1.0]"
1,"[9.0,8.0,7.0]"
1,"[0.0,122.0,6.0]"
1,"[18.0,264.0,1.0]"
1,"[9.0,5.0,1.0]"
1,"[5.0,22.0,1.0]"
1,"[18.0,102.0,5.0]"
1,"[20.0,25.0,1.0]"
1,"[10.0,7.0,5.0]"
1,"[32.0,164.0,0.0]"
1,"[16.0,145.0,1.0]"
1,"[9.0,32.0,0.0]"
1,"[24.0,65.0,0.0]"
1,"[0.0,146.0,9.0]"
1,"[0.0,9.0,1.0]"
1,"[19.0,248.0,5.0]"
1,"[22.0,11.0,4.0]"
1,"[0.0,40.0,0.0]"
1,"[11.0,12.0,1.0]"
1,"[10.0,217.0,1.0]"
1,"[5.0,180.0,7.0]"
1,"[11.0,6.0,1.0]"
1,"[11.0,9.0,1.0]"
1,"[20.0,6.0,0.0]"
1,"[5.0,225.0,5.0]"
1,"[9.0,31.0,0.0]"
1,"[10.0,100.0,5.0]"
1,"[11.0,9.0,7.0]"
1,"[9.0,224.0,0.0]"
1,"[10.0,25.0,4.0]"
1,"[23.0,37.0,1.0]"
1,"[0.0,172.0,10.0]"
1,"[18.0,13.0,4.0]"
1,"[5.0,121.0,0.0]"
1,"[20.0,147.0,1.0]"
1,"[23.0,5.0,1.0]"
1,"[16.0,26.0,0.0]"
1,"[9.0,77.0,0.0]"
1,"[0.0,22.0,1.0]"
1,"[0.0,46.0,1.0]"
1,"[22.0,67.0,2.0]"
1,"[11.0,198.0,1.0]"
1,"[11.0,7.0,8.0]"
1,"[21.0,17.0,0.0]"
1,"[0.0,90.0,9.0]"
1,"[10.0,20.0,9.0]"
1,"[5.0,6.0,1.0]"
1,"[0.0,21.0,4.0]"
1,"[11.0,204.0,2.0]"
1,"[11.0,12.0,8.0]"
1,"[11.0,57.0,5.0]"
1,"[0.0,9.0,0.0]"
1,"[5.0,210.0,1.0]"
1,"[0.0,25.0,1.0]"
1,"[5.0,135.0,1.0]"
1,"[5.0,7.0,2.0]"
1,"[10.0,61.0,8.0]"
1,"[18.0,28.0,6.0]"
1,"[0.0,5.0,1.0]"
1,"[10.0,11.0,1.0]"
1,"[9.0,156.0,8.0]"
1,"[0.0,5.0,1.0]"
1,"[0.0,137.0,1.0]"
1,"[9.0,196.0,11.0]"
1,"[19.0,219.0,0.0]"
1,"[22.0,6.0,6.0]"
1,"[23.0,5.0,6.0]"
1,"[16.0,266.0,0.0]"
1,"[9.0,6.0,1.0]"
1,"[3.0,38.0,5.0]"
1,"[23.0,72.0,1.0]"
1,"[11.0,8.0,1.0]"
1,"[3.0,18.0,1.0]"
1,"[11.0,8.0,1.0]"
1,"[0.0,5.0,0.0]"
1,"[10.0,13.0,5.0]"
1,"[5.0,38.0,6.0]"
1,"[11.0,5.0,1.0]"
1,"[3.0,14.0,0.0]"
1,"[18.0,5.0,4.0]"
1,"[5.0,85.0,0.0]"
1,"[5.0,229.0,2.0]"
1,"[11.0,39.0,1.0]"
1,"[11.0,13.0,1.0]"
1,"[11.0,14.0,8.0]"
1,"[0.0,254.0,4.0]"
1,"[21.0,179.0,1.0]"
1,"[5.0,14.0,6.0]"
1,"[5.0,22.0,8.0]"
1,"[9.0,44.0,9.0]"
1,"[0.0,15.0,0.0]"
1,"[10.0,5.0,1.0]"
1,"[9.0,7.0,6.0]"
1,"[0.0,95.0,0.0]"
1,"[3.0,42.0,11.0]"
1,"[19.0,177.0,1.0]"
1,"[19.0,5.0,1.0]"
1,"[23.0,15.0,1.0]"
1,"[16.0,6.0,0.0]"
1,"[3.0,235.0,6.0]"
1,"[3.0,6.0,1.0]"
1,"[11.0,265.0,1.0]"
1,"[3.0,79.0,0.0]"
1,"[0.0,8.0,1.0]"
1,"[0.0,6.0,1.0]"
1,"[3.0,260.0,1.0]"
1,"[0.0,5.0,4.0]"
1,"[10.0,251.0,8.0]"
1,"[11.0,38.0,1.0]"
1,"[9.0,230.0,1.0]"
1,"[11.0,39.0,6.0]"
1,"[5.0,40.0,0.0]"
1,"[5.0,66.0,4.0]"
1,"[0.0,37.0,1.0]"
1,"[21.0,5.0,1.0]"
1,"[3.0,14.0,1.0]"
1,"[5.0,258.0,10.0]"
1,"[19.0,8.0,8.0]"
1,"[10.0,150.0,0.0]"
1,"[21.0,33.0,1.0]"
1,"[16.0,125.0,0.0]"
1,"[0.0,39.0,9.0]"
1,"[0.0,33.0,1.0]"
1,"[9.0,15.0,0.0]"
1,"[16.0,104.0,0.0]"
1,"[3.0,241.0,1.0]"
1,"[3.0,73.0,1.0]"
1,"[23.0,10.0,6.0]"
1,"[11.0,7.0,1.0]"
1,"[3.0,8.0,2.0]"
1,"[3.0,44.0,1.0]"
1,"[0.0,70.0,4.0]"
1,"[0.0,7.0,6.0]"
1,"[3.0,202.0,1.0]"
1,"[10.0,20.0,1.0]"
1,"[5.0,26.0,6.0]"
1,"[5.0,41.0,7.0]"
1,"[0.0,250.0,4.0]"
1,"[18.0,5.0,1.0]"
1,"[11.0,218.0,2.0]"
1,"[0.0,174.0,10.0]"
1,"[11.0,21.0,4.0]"
1,"[11.0,134.0,4.0]"
1,"[0.0,16.0,1.0]"
1,"[10.0,23.0,1.0]"
1,"[9.0,52.0,1.0]"
1,"[22.0,133.0,1.0]"
1,"[9.0,148.0,1.0]"
1,"[16.0,158.0,1.0]"
1,"[9.0,10.0,4.0]"
1,"[0.0,215.0,1.0]"
1,"[0.0,48.0,0.0]"
1,"[16.0,9.0,2.0]"
1,"[9.0,119.0,2.0]"
1,"[3.0,139.0,0.0]"
1,"[23.0,13.0,4.0]"
1,"[11.0,183.0,1.0]"
1,"[3.0,21.0,1.0]"
1,"[3.0,10.0,1.0]"
1,"[26.0,185.0,1.0]"
1,"[3.0,5.0,4.0]"
1,"[20.0,43.0,1.0]"
1,"[3.0,18.0,1.0]"
1,"[0.0,56.0,0.0]"
1,"[18.0,157.0,4.0]"
1,"[18.0,9.0,1.0]"
1,"[10.0,6.0,1.0]"
1,"[0.0,87.0,7.0]"
1,"[16.0,175.0,1.0]"
1,"[5.0,16.0,6.0]"
1,"[22.0,49.0,0.0]"
1,"[5.0,19.0,0.0]"
1,"[11.0,82.0,1.0]"
1,"[11.0,5.0,1.0]"
1,"[10.0,62.0,1.0]"
1,"[0.0,6.0,1.0]"
1,"[10.0,255.0,4.0]"
1,"[0.0,42.0,1.0]"
1,"[9.0,7.0,1.0]"
1,"[25.0,32.0,8.0]"
1,"[21.0,226.0,4.0]"
1,"[9.0,98.0,0.0]"
1,"[16.0,19.0,10.0]"
1,"[9.0,8.0,1.0]"
1,"[23.0,13.0,7.0]"
1,"[11.0,9.0,1.0]"
1,"[3.0,10.0,4.0]"
1,"[18.0,110.0,4.0]"
1,"[3.0,268.0,0.0]"
1,"[3.0,25.0,5.0]"
1,"[20.0,41.0,0.0]"
1,"[26.0,20.0,4.0]"
1,"[26.0,41.0,5.0]"
1,"[3.0,52.0,1.0]"
1,"[20.0,24.0,0.0]"
1,"[0.0,47.0,1.0]"
1,"[10.0,15.0,1.0]"
